부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
'그거' 있어요?,심연,B14,2sp,CoC 7th,"언성듀엣, inSANe",,,,,,"기타,소설",https://dongne.co/event/dice01/circles/106096,다이스 페스타,day1
.,심해,C24b,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/169590,다이스 페스타,day1
2년 전에 신청하고 까먹고 있었는데 갑자기 행사가 한 달 뒤라고요?,9999,E2,2sp,COC,지금보니까 여기만 신간이 없잖아요 뭐라도 할수있게 힘내보겠습니다 안되면 재고만 들고가요....,,,,,,기타,https://dongne.co/event/dice01/circles/105096,다이스 페스타,day1
Bury Me,베리미,B7,2sp,수제 레진 주사위 ,,,,,,,공예,https://dongne.co/event/dice01/circles/105970,다이스 페스타,day1
CHERRY-PICKING-PARTY,최리,E21,2sp,크툴루의 부름 7판,,,,,,,,https://dongne.co/event/dice01/circles/106085,다이스 페스타,day1
Hidden Sweet,플,C18a,1sp,더블크로스3rd,언성 듀엣,,,,,,공예,https://dongne.co/event/dice01/circles/169561,다이스 페스타,day1
J룰 하기 좋은 날,메로닝,A7b,1sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/143056,다이스 페스타,day1
Kil the Silver,그은,B5,2sp,,,,,,,,공예,https://dongne.co/event/dice01/circles/169230,다이스 페스타,day1
Last Nighty,147,E3a,1sp,CoC 7th,,,,,,,소설,https://dongne.co/event/dice01/circles/140595,다이스 페스타,day1
LIMIT,SIHA,A7a,1sp,마도서대전TRPG 마기카로기아,,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/143190,다이스 페스타,day1
Minari Handmade,끼랴,E6a,1sp,Call of Cthulhu,피아스코,,,,,,"공예,기타",https://dongne.co/event/dice01/circles/105898,다이스 페스타,day1
MY FIRST TABLETOP,우롱,A22,2sp,더블크로스3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/142773,다이스 페스타,day1
n선상의 다이스,Team.cosmos,E4,2sp,CoC 7th,,,,,,,기타,https://dongne.co/event/dice01/circles/144783,다이스 페스타,day1
Project KUKI 프로젝트 쿠키,프로젝트 쿠키,E24,2sp,크툴루의 부름,,,,,,,,https://dongne.co/event/dice01/circles/169545,다이스 페스타,day1
RGBK,날치,A6,2sp,"마기카로기아, 더블크로스","인세인, 스트라토샤우트",문호특설우정국 「낭만사서함」,,,,,,https://dongne.co/event/dice01/circles/106235,다이스 페스타,day1
San체크 /r 1D100,해산물,E20b,1sp,Coc,없음,,,,,,,https://dongne.co/event/dice01/circles/148055,다이스 페스타,day1
SAN치 핀치 오버드!,Team SHiKL,A24b,1sp,더블크로스 3rd,크툴루의 부름,제1회 UGN 한국지부 비공식 워크숍,,,,,"기타,소설",https://dongne.co/event/dice01/circles/104139,다이스 페스타,day1
Sarvant on the Ground,사라반트,A12,4sp,마도서대전 TRPG 마기카로기아,inSANe,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/104981,다이스 페스타,day1
Saura's TRPG,Saura,B20,2sp,D&D 5e,,,,,,,게임,https://dongne.co/event/dice01/circles/105610,다이스 페스타,day1
SF 좋아하세요? 전 좋아합니다... 그런데 마법을 곁들인,김예섭,A18,2sp,마기카로기아,Dx3rd,문호특설우정국 「낭만사서함」,,,,,"게임,일러스트",https://dongne.co/event/dice01/circles/144193,다이스 페스타,day1
silverforest,은림,C21b,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/145123,다이스 페스타,day1
slice and dice,데지,E22b,1sp,CoC 7th,,,,,,,기타,https://dongne.co/event/dice01/circles/167886,다이스 페스타,day1
Team HATS,"H_M, 파란모자",D2b,1sp,COC,,,,,,,,https://dongne.co/event/dice01/circles/106615,다이스 페스타,day1
TEAM MATIZ,B,B15b,1sp,둘이서 수사,"CoC, 인세인",,,,,,"소설,기타",https://dongne.co/event/dice01/circles/142848,다이스 페스타,day1
TEAM SF,먼지,B16,2sp,둘이서 수사,inSANe,,,,,,게임,https://dongne.co/event/dice01/circles/142827,다이스 페스타,day1
Team. Zodiac,태양,E23,2sp,"COC, 인세인",,,,,,,게임,https://dongne.co/event/dice01/circles/104518,다이스 페스타,day1
Team. 라퓨타,수연,E7,4sp,Call of Cthulhu 7th,,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/105293,다이스 페스타,day1
Team. 오아시스,팀 오아시스,D11,4sp,COC,,,,,,,"소설,게임",https://dongne.co/event/dice01/circles/103657,다이스 페스타,day1
Team.LUNACY,MILK,A20b,1sp,인세인,마기카로기아,,,,,,기타,https://dongne.co/event/dice01/circles/105711,다이스 페스타,day1
WE MAKE CODEX BETTER,세롬,A16a,1sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/144859,다이스 페스타,day1
Xero Crescent,휴엔,D4a,1sp,크툴루의 부름,,,,,,,,https://dongne.co/event/dice01/circles/109319,다이스 페스타,day1
You Are F,교수,C13,2sp,TRPG,COC 7th 팬메이드 시나리오,,,,,,"게임,기타",https://dongne.co/event/dice01/circles/141940,다이스 페스타,day1
ZB,BLEN,C22b,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/143079,다이스 페스타,day1
《마감》으로 공포판정,로맨틱쿼카,D12,2sp,inSANe,,,,,,,기타,https://dongne.co/event/dice01/circles/104988,다이스 페스타,day1
개새튀김과 대마덮밥 ,개새,B12,2sp,COC : 스카보로우 항구에서 시나리오집,ALL,,X,,해당없음,X,"기타,소설",https://dongne.co/event/dice01/circles/104439,다이스 페스타,day1
겁스민,스민,D6b,1sp,"겁스, GURPS",,,,,,,기타,https://dongne.co/event/dice01/circles/143120,다이스 페스타,day1
공중화장실,선녀,E22a,1sp,COC,,,X,,해당없음,,게임,https://dongne.co/event/dice01/circles/106410,다이스 페스타,day1
공포심 10개 모으면 괴이로 교환해드려요,사부,C10,2sp,마기카로기아,인세인,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/105548,다이스 페스타,day1
그레이 스칼렛,스칼,A3a,1sp,더블크로스3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/144731,다이스 페스타,day1
까까인,고슴도치,C2b,1sp,인세인,,,,,,,게임,https://dongne.co/event/dice01/circles/105331,다이스 페스타,day1
꽁치수산,"제림, 엔난",C5,2sp,인세인,COC,,,,,,소설,https://dongne.co/event/dice01/circles/103733,다이스 페스타,day1
나라 얻은 아나키스트처럼 울었다,뽀,C3b,1sp,인세인,크툴루의 부름,,,,,,기타,https://dongne.co/event/dice01/circles/106280,다이스 페스타,day1
날팔이,포리,D17b,1sp,coc,,,,,,,,https://dongne.co/event/dice01/circles/143265,다이스 페스타,day1
내멋대로 TRPG,연어,C21a,1sp,시티 오브 미스트,,,,,,,"게임,공예",https://dongne.co/event/dice01/circles/105686,다이스 페스타,day1
노는 여자들,서한아,C7,2sp,마우스가드,언라이트(단순 홍보),,,,,,기타,https://dongne.co/event/dice01/circles/105905,다이스 페스타,day1
뇌크로노미콘 상회 UGN 지점,언데드,A24a,1sp,"더블크로스 3rd, 크툴루의 부름",,제1회 UGN 한국지부 비공식 워크숍,,,해당없음,,"소설,기타",https://dongne.co/event/dice01/circles/104887,다이스 페스타,day1
느짓살이,단삭,A21a,1sp,더블크로스 3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,소설,https://dongne.co/event/dice01/circles/142867,다이스 페스타,day1
다시 태어나면 쨍(WoD)은 하지 않겠습니다.,팀더스테인 ,C1,2sp,World of Darkness,"Mage : the Ascension, Wraith : the Oblivion, Changeling : the dreaming, Demon : the Fallen",,,,,,게임,https://dongne.co/event/dice01/circles/169440,다이스 페스타,day1
다이스 파스타?,밤,B2b,1sp,,,,,,,,"공예,기타",https://dongne.co/event/dice01/circles/149752,다이스 페스타,day1
단칸방,호재,D9a,1sp,coc,언성듀엣,,,,,,,https://dongne.co/event/dice01/circles/169279,다이스 페스타,day1
달 뒷면 토끼파,녹차하임,B21a,1sp,마기카로기아,시노비가미,,,,,,,https://dongne.co/event/dice01/circles/105678,다이스 페스타,day1
달빛 다과회,유페,D5,2sp,크툴루의 부름,시노비가미,,,,,,"공예,게임,기타",https://dongne.co/event/dice01/circles/105937,다이스 페스타,day1
덥크시날집나옵니다아마도,김치트,C9,2sp,더블크로스,C.O.C,,,,,,기타,https://dongne.co/event/dice01/circles/105590,다이스 페스타,day1
도깨비상점,도깨비상점,B4,2sp,,,,,,,,공예,https://dongne.co/event/dice01/circles/169643,다이스 페스타,day1
도토리 식냥,"Chito, 구남친, 먼지 ",D8,2sp,COC,X,,,,,,"소설,기타",https://dongne.co/event/dice01/circles/141364,다이스 페스타,day1
두부만두,치쯔,B23,2sp,2차창작룰,"coc, 인세인",,,,,,기타,https://dongne.co/event/dice01/circles/104243,다이스 페스타,day1
둘이서 듀엣,유감,B18a,1sp,둘이서 수사,언성 듀엣,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/167409,다이스 페스타,day1
둘이서 크툴루~당신과 친해지는.... 친해지나요? 하여튼 그겁니다~,용봉,B13,2sp,크툴루의 부름,둘이서 수사,,,,,,,https://dongne.co/event/dice01/circles/120857,다이스 페스타,day1
둘이서 하나,동전,D4b,1sp,크툴루의 부름 7판,,,,,,,,https://dongne.co/event/dice01/circles/111433,다이스 페스타,day1
드림랜드,Zzz,D18b,1sp,CoC,Insane,,신화생물,,해당없음,,"기타,게임",https://dongne.co/event/dice01/circles/105820,다이스 페스타,day1
라즈베리베리베리,서라,D14,2sp,크툴루의 부름 7th ,,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/157790,다이스 페스타,day1
마션,LD,D18a,1sp,CoC,,,,,,,,https://dongne.co/event/dice01/circles/142826,다이스 페스타,day1
망치&아오빡쳐,AozukiRen,C18b,1sp,더블 크로스 3rd,,,,,,,기타,https://dongne.co/event/dice01/circles/106105,다이스 페스타,day1
머리 넷 달린 생선,플랫피쉬,A2b,1sp,더블크로스,마기카로기아...?,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/142879,다이스 페스타,day1
멸망한 세계로도 김치를 담글 수 있나요,해진,A15,2sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/148217,다이스 페스타,day1
문호특설우정국 「낭만사서함」 (운영부스),동인 네트워크,A11,2sp,,,문호특설우정국 「낭만사서함」,,,,,,https://dongne.co/event/dice01/circles/170535,다이스 페스타,day1
미정,"냠맹, 김익",E6b,1sp,Call of Cthulhu 7th,,,,,,,소설,https://dongne.co/event/dice01/circles/105013,다이스 페스타,day1
미정,ㄹㅇ,D17a,1sp,CoC,,,,,,,,https://dongne.co/event/dice01/circles/166619,다이스 페스타,day1
미증유의 사태,미증유,D16b,1sp,CoC 7th,,,,,,,소설,https://dongne.co/event/dice01/circles/169253,다이스 페스타,day1
밀가루로만든롱스틱,롱스틱,D16a,1sp,CoC,,,,,,,기타,https://dongne.co/event/dice01/circles/105965,다이스 페스타,day1
배쓰밤 진열대,팀 배쓰밤,C16,2sp,inSANe,CoC,,,,,,기타,https://dongne.co/event/dice01/circles/103639,다이스 페스타,day1
북극곰 이웃집,NAKA,C8,2sp,DX3(더블크로스),,,,,,,기타,https://dongne.co/event/dice01/circles/105586,다이스 페스타,day1
브루클린 육아일기,김수영,D23a,1sp,COC,,,,,,,소설,https://dongne.co/event/dice01/circles/103708,다이스 페스타,day1
블루밍하우스,에피,C12,2sp,크툴루의 부름,,,,,,,"만화,기타,영상",https://dongne.co/event/dice01/circles/104442,다이스 페스타,day1
빵 굽는 공장,치즈빵,B8,2sp,마기카로기아,,,,,,,게임,https://dongne.co/event/dice01/circles/104348,다이스 페스타,day1
상앚동 여우집,앚,C11,2sp,더블크로스 3rd,크툴루의 부름,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/104549,다이스 페스타,day1
새 책을 내고 싶었습니다만 어느 틈에 벌써,기린,D6a,1sp,은검의 스텔라나이츠,,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/105418,다이스 페스타,day1
색다르고 상상이상의 환장,Pluto,B19,2sp,신화창세 RPG 아마데우스,마기카로기아,,,,,,소설,https://dongne.co/event/dice01/circles/105430,다이스 페스타,day1
생의찬가,플리,D23b,1sp,COC,언성듀엣,,,,,,,https://dongne.co/event/dice01/circles/112527,다이스 페스타,day1
샤님네 둘수사 부스,샤님,B18b,1sp,둘이서 수사,더블크로스,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/143009,다이스 페스타,day1
샤방샤방 샤그나판,비지,D3,2sp,크툴루의 부름,확실하지 않으나 퀼 예정,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/103700,다이스 페스타,day1
쉿♥ 장어낚시 중 (키리타니 출입금지),쏘빙,A4a,1sp,더블크로스 3rd Edition,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/142636,다이스 페스타,day1
쉿♥︎ 장어손질중 (후지사키도 출입금지),DD,A4b,1sp,더블크로스 3rd Edition,,제1회 UGN 한국지부 비공식 워크숍,,,해당없음,,"소설,기타",https://dongne.co/event/dice01/circles/152836,다이스 페스타,day1
슈툴루공방,슈림,D15,2sp,CoC,,,,,,,소설,https://dongne.co/event/dice01/circles/105893,다이스 페스타,day1
스페셜 띄우세요,도고,C3a,1sp,인세인,"언성 듀엣, CoC",,,,,,기타,https://dongne.co/event/dice01/circles/144196,다이스 페스타,day1
시나1,시나,D13,2sp,CoC,,,,,,,기타,https://dongne.co/event/dice01/circles/105391,다이스 페스타,day1
시나리오는 내가 쓸게 플레이는 누가 할래,퐁듀,B9b,1sp,마기카로기아,둘이서 수사,,,,,,소설,https://dongne.co/event/dice01/circles/150231,다이스 페스타,day1
시미네,nilsoul.blog.me,C23a,1sp,귀염뽀짝모음,동물초상화,,홍시,,,,,https://dongne.co/event/dice01/circles/111313,다이스 페스타,day1
신님은 주사위 게임 당근빳따죠,요븐,C23b,1sp,도쿄 고스트 리서치,CoC,,,,,,"소설,공예,기타",https://dongne.co/event/dice01/circles/104565,다이스 페스타,day1
신조차모독하는사상최대의천재,호제,D19,2sp,COC,,,,,,,,https://dongne.co/event/dice01/circles/109456,다이스 페스타,day1
아론의 사제,소율,A16b,1sp,아론의 사제 (창작룰),"마기카로기아, 언성듀엣",,,,,,게임,https://dongne.co/event/dice01/circles/105774,다이스 페스타,day1
아마도 해피엔딩,ADN,A17a,1sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/108740,다이스 페스타,day1
아말감,해광,A2a,1sp,더블크로스 3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,공예,https://dongne.co/event/dice01/circles/169392,다이스 페스타,day1
아무것도 안나오는 부스,없음,E5b,1sp,CoC,,,,,,,기타,https://dongne.co/event/dice01/circles/105795,다이스 페스타,day1
아자 아자 아자토스!!,상자,C22a,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/105088,다이스 페스타,day1
아컴가 32번지,유칼리,B15a,1sp,둘이서수사,13시대,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/142955,다이스 페스타,day1
에트랑제 앨리스,시나,A14,2sp,CoC,마기로기,문호특설우정국 「낭만사서함」,,,,,,https://dongne.co/event/dice01/circles/147995,다이스 페스타,day1
여타 다를 것 없는 TRPG 부스,여타,C20,2sp,꽃의 언어,CoC,,,,,,게임,https://dongne.co/event/dice01/circles/167598,다이스 페스타,day1
영웅은 별이 될까...?,유인,D9b,1sp,"CoC, 아곤",,,,,,,"소설,게임",https://dongne.co/event/dice01/circles/150441,다이스 페스타,day1
왕의 죽음 그리고 삶 그리고 남겨진 사람들,얼음님,C24a,1sp,국내 창작룰,국내 창작룰,,,,,,,https://dongne.co/event/dice01/circles/106441,다이스 페스타,day1
우리집 정수기는 압호스의 자식 나온다,덕금,C15,2sp,크툴루의 부름,인세인,,,,,,게임,https://dongne.co/event/dice01/circles/108469,다이스 페스타,day1
월요일은 아니지만 뭐든지 해봅니다: 더블크로스!,해바라이온,A23,2sp,더블크로스 3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,게임,https://dongne.co/event/dice01/circles/141120,다이스 페스타,day1
유 어 에프 You are F,교수,C14a,1sp,coc7판,,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/105857,다이스 페스타,day1
이거 변경이 되나요?,치즈,C2a,1sp,인세인,"크툴루, 드라크루쥬",,,,,,"기타,소설",https://dongne.co/event/dice01/circles/109672,다이스 페스타,day1
이경원양어선,율리피쉬,A9,2sp,마기카로기아,뭔가 나올지도..,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/105626,다이스 페스타,day1
이대로라면 좌석이 될 뿐이라 마감을 결심했습니다.,콜렛,A19,2sp,마도서대전 RPG마기카로기아,,,,,,,,https://dongne.co/event/dice01/circles/106304,다이스 페스타,day1
인세인과 WoS가 재미있음,소낙,C4,2sp,"이야기꾼의 세계(WoS), 인세인",,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/105619,다이스 페스타,day1
인세인은 거꾸로 말해도 인세인,연호,B24,2sp,멀티장르호러TRPG inSANe,,,,,,,기타,https://dongne.co/event/dice01/circles/105539,다이스 페스타,day1
일정은펌블나도마감은크리티컬,백쏘,A3b,1sp,더블크로스 3rd,청춘밴드TRPG 스트라토샤우트,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/105381,다이스 페스타,day1
읽던 다중단편세계록을 덮는다. 과연 그렇게 된 것인가.,니에즈피,B11,2sp,마도서대전RPG마기카로기아,,,,,,,소설,https://dongne.co/event/dice01/circles/105659,다이스 페스타,day1
잉큼공방,호마마,B6,2sp,레진 주사위,,,,,,,공예,https://dongne.co/event/dice01/circles/141378,다이스 페스타,day1
자급자족,aken,A21b,1sp,더블크로스,"인세인, CoC ",제1회 UGN 한국지부 비공식 워크숍,,,,,"기타,공예",https://dongne.co/event/dice01/circles/120715,다이스 페스타,day1
"장면 개시, 신화생물의 기벽이 발동합니다. 1D6",슭곰,B17,2sp,"CoC, 둘이서수사",DX 3rd,,,,,,소설,https://dongne.co/event/dice01/circles/145634,다이스 페스타,day1
저랑 티알하실 분,도먀,C14b,1sp,coc / 인세인,기타,,,,,,기타,https://dongne.co/event/dice01/circles/150368,다이스 페스타,day1
적장의 마감을 따왔습니다,흰줄구름무늬작은밤나비,D7,2sp,크툴루의 부름,DX3,,,,,,기타,https://dongne.co/event/dice01/circles/106018,다이스 페스타,day1
전염병이 몰려와도 TRPG는 멈출 수 없어!,새미,B3,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/169238,다이스 페스타,day1
제1회 UGN 한국지부 비공식 워크숍 (운영부스),동인 네트워크,A1,2sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,,https://dongne.co/event/dice01/circles/170530,다이스 페스타,day1
제정신아닌부스,명몽,D2a,1sp,크툴루의 부름,,,,,,,소설,https://dongne.co/event/dice01/circles/155524,다이스 페스타,day1
종말에 시간 되세요? 세션 하나 하실 수 있으세요?,아프로,D20a,1sp,크툴루의 부름,스타트렉 어드벤처,,,,,,"게임,기타",https://dongne.co/event/dice01/circles/105472,다이스 페스타,day1
주사위 아홉 번 굴리기,나인독,B2a,1sp,TRPG,크툴루의 부름,,,,,,소설,https://dongne.co/event/dice01/circles/105529,다이스 페스타,day1
주사위 아홉 번 굴리기Ⅱ,나인독,B1,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/169495,다이스 페스타,day1
최후의 직장인과 이성의 부름,사사,E20a,1sp,"크툴루의 부름, COC, Call of Cthulhu",더블크로스 3rd,,,,,,기타,https://dongne.co/event/dice01/circles/142129,다이스 페스타,day1
카페인페인,역설,B22,2sp,"인세인, 시노비가미",,,,,,,기타,https://dongne.co/event/dice01/circles/142995,다이스 페스타,day1
코인세탁,하인,B21b,1sp,시노비가미,,,,,,,"만화,게임",https://dongne.co/event/dice01/circles/104076,다이스 페스타,day1
큐리하게,큐리,E5a,1sp,CoC,,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/117986,다이스 페스타,day1
크툴루의 부업,얀별,D20b,1sp,크툴루의 부름,,,,,,,기타,https://dongne.co/event/dice01/circles/105203,다이스 페스타,day1
탁상예능,최믹하,D1,4sp,COC,오메가버스,,,,,,,https://dongne.co/event/dice01/circles/103537,다이스 페스타,day1
탐사자보호협회,서번트,D22a,1sp,COC,,,,,,,,https://dongne.co/event/dice01/circles/143008,다이스 페스타,day1
토깽이 TRPG 분점,K,A5,2sp,마기카로기아,인세인,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/104769,다이스 페스타,day1
트리플 호구즈,한연서,B10,2sp,마기카로기아,,,,,,,기타,https://dongne.co/event/dice01/circles/104096,다이스 페스타,day1
팀 33,팀 33,E3b,1sp,COC 7,,,,,,,기타,https://dongne.co/event/dice01/circles/117242,다이스 페스타,day1
팀 낙원,낙원,E19,2sp,coc,insane,,,,,,,https://dongne.co/event/dice01/circles/105562,다이스 페스타,day1
팀 푸른꽃,청염,C6,4sp,"사이버 퍼밀리어, 취록의 플로리아",동인룰 다수,,,,,,게임,https://dongne.co/event/dice01/circles/109470,다이스 페스타,day1
플라톤은 반드시 부흥한다,소쿠리단지,A8,2sp,마기카로기아,블러드패스,문호특설우정국 「낭만사서함」,,,,,"소설,게임",https://dongne.co/event/dice01/circles/142337,다이스 페스타,day1
피플여객 디페스타지점,펠타누,C17,2sp,"더블크로스3rd, 크툴루의 부름","인세인, 후타리 소우사",,,,,,소설,https://dongne.co/event/dice01/circles/104731,다이스 페스타,day1
핫스파이시크툴루버거세트,피바다,D21,2sp,CoC,,,-,,해당없음,-,기타,https://dongne.co/event/dice01/circles/105924,다이스 페스타,day1
해외 원양어선,상실 ,A10,2sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/144079,다이스 페스타,day1
환상부엉공방,지현,A17b,1sp,마도서대전 RPG 마기카로기아,,문호특설우정국 「낭만사서함」,,,,,,https://dongne.co/event/dice01/circles/142695,다이스 페스타,day1
휴식처,prekim02,D22b,1sp,Coc,,,,,,,,https://dongne.co/event/dice01/circles/106282,다이스 페스타,day1
 구멍가게,퐁,M20a,1sp,"데못죽, 화산귀환","성아돌, 내스급,로오히,파이널판타지14",,"테스타, 청려, 청명,백천,유이설,성현제,한유현,렘브러리,알피노,아이메리크,에스티니앙,아우레아",,해당없음,,일러스트,https://dongne.co/event/df2204/circles/147035,제 18회 디페스타,day1
(주)무림미식회 중앙본부,중앙본부장,M7,2sp,월한강천록,무림제일폐,,유소월,문지서X유소월,"로맨틱,섹슈얼","홍륜소월, 유원소월","만화,소설",https://dongne.co/event/df2204/circles/145630,제 18회 디페스타,day1
0혼없음,강류흔,M4,2sp,백작가의 망나니가 되었다.,,,"알베르 크로스만, 케일 헤니투스",알베르 크로스만X케일 헤니투스,로맨틱,,만화,https://dongne.co/event/df2204/circles/147023,제 18회 디페스타,day1
2A YORK ROAD,코기앤소랏,G17,2sp,,,,,,,,"일러스트,만화,기타",https://dongne.co/event/df2204/circles/148505,제 18회 디페스타,day1
99,99,J4a,1sp,주술회전,,,주술회전 올캐러,X,,,"일러스트,사진",https://dongne.co/event/df2204/circles/147669,제 18회 디페스타,day1
A,다혼,M1a,1sp,내가 키운 S급들,,,올캐릭터,,해당없음,,공예,https://dongne.co/event/df2204/circles/146451,제 18회 디페스타,day1
Alchemy Lab.,JunE,I1,2sp,볼트론:전설의 수호자,,,"키스, 시로, 알루라, 랜스, 피지, 헝크",키스X시로,"로맨틱,섹슈얼",알루랜스,소설,https://dongne.co/event/df2204/circles/144605,제 18회 디페스타,day1
