부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
AZ 3기 희망,다니,I8a,1sp,알드노아 제로,화산귀환,,"이나호, 슬레인",이나호X슬레인,로맨틱,청명청문,소설,https://dongne.co/event/df2204/circles/145695,제 18회 디페스타,day1
A런치는 크림소다와 오므라이스입니다,놉,I5,2sp,히프노시스 마이크,,,"이자나미 히후미, 칸논자카 돗포, 누루데 사사라, 츠츠지모리 로쇼, 부스지마 메이슨 리오",이자나미 히후미X칸논자카 돗포,"로맨틱,섹슈얼","부스지마 메이슨 리오 X 칸논자카 돗포, 누루데 사사라 X 츠츠지모리 로쇼","소설,일러스트",https://dongne.co/event/df2204/circles/146022,제 18회 디페스타,day1
BN,BN,L5,2sp,전독시,,,,,,,,https://dongne.co/event/df2204/circles/146259,제 18회 디페스타,day1
Carmine red,Carmine*,J3,2sp,에스케이 에이트,그랑블루 판타지,,사쿠라야시키 카오루,난죠 코지로X사쿠라야시키 카오루,"로맨틱,섹슈얼","죠체리, 지크퍼시, 란레키","소설,기타",https://dongne.co/event/df2204/circles/147964,제 18회 디페스타,day1
cerealBox,신월,L21a,1sp,내가 키운 S급들,,"Home, sweet home",한유현,,"로맨틱,섹슈얼",,만화,https://dongne.co/event/df2204/circles/146561,제 18회 디페스타,day1
Cerulean+Blue,Sipir,J7,2sp,하이큐,쿠키런,,히나타 쇼요,스가와라 코우시X히나타 쇼요,섹슈얼,츠키히나,만화,https://dongne.co/event/df2204/circles/145600,제 18회 디페스타,day1
DONNA DONNA ,mito,H8,2sp,오리지널(창작),"귀멸의칼날, 나츠메우인장",,,,,,"일러스트,공예",https://dongne.co/event/df2204/circles/146774,제 18회 디페스타,day1
"Error , not found",날Nal,K19,2sp,"어쌔씬크리드, 마블",반지의 제왕,,,,,,"소설,공예",https://dongne.co/event/df2204/circles/148059,제 18회 디페스타,day1
Frost Moon,라프엘,K17,2sp,"영원한 7일의 도시, 죠죠의 기묘한 모험",,,,,,,,https://dongne.co/event/df2204/circles/147452,제 18회 디페스타,day1
Fushigurocest,FEYE,I17a,1sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],"후시구로 토우지, 후시구로 메구미",후시구로 토우지X후시구로 메구미,"섹슈얼,로맨틱",,소설,https://dongne.co/event/df2204/circles/145837,제 18회 디페스타,day1
GLIMJA,글림자,H25a,1sp,,,,,,,,일러스트,https://dongne.co/event/df2204/circles/145103,제 18회 디페스타,day1
"Home, sweet home (운영부스)",동인 네트워크,L4,2sp,,,"Home, sweet home",,,,,,https://dongne.co/event/df2204/circles/170554,제 18회 디페스타,day1
Kozmic*cosmo,Koz,K11,2sp,죠죠의 기묘한 모험,,,"쿠죠 죠타로, 카쿄인 노리아키",죠타로X카쿄인,"로맨틱,섹슈얼",,"만화,소설",https://dongne.co/event/df2204/circles/144616,제 18회 디페스타,day1
KR+,카린,H12b,1sp,,,,,,,,소설,https://dongne.co/event/df2204/circles/146370,제 18회 디페스타,day1
llllnoonllll,llllnoonllll,G14a,1sp,데뷔못하면죽는병걸림,내스급 해리포터,,,,,,,https://dongne.co/event/df2204/circles/145255,제 18회 디페스타,day1
Lovely Mix,Lovely Mix,M16b,1sp,데뷔 못 하면 죽는 병 걸림,"전독시, 내스급",,,,,,,https://dongne.co/event/df2204/circles/146231,제 18회 디페스타,day1
made by 자윤,자윤,G3,2sp,,,,,,,,공예,https://dongne.co/event/df2204/circles/147037,제 18회 디페스타,day1
MGR,jz,M6b,1sp,데뷔 못하면 죽는 병 걸림,,,올캐릭터,,해당없음,"청려문대, 큰세배세, 유진래빈","일러스트,만화",https://dongne.co/event/df2204/circles/147392,제 18회 디페스타,day1
Moonlight pink,Pink,M5,2sp,인사반파자구계통,"마도조사, 천관사복",,"막북군, 상청화",막북군X상청화,"섹슈얼,로맨틱","남망기x위무선, 화성x사련","만화,일러스트,소설",https://dongne.co/event/df2204/circles/147230,제 18회 디페스타,day1
no friends,아무말,I6,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,,,"만화,소설",https://dongne.co/event/df2204/circles/144420,제 18회 디페스타,day1
Note it,삐용삐용,G14b,1sp,화산귀환,,,,백천X청명,,,만화,https://dongne.co/event/df2204/circles/146195,제 18회 디페스타,day1
Nottelatte,notte,H25b,1sp,,,,,,,,"만화,일러스트",https://dongne.co/event/df2204/circles/145901,제 18회 디페스타,day1
Paper Moon,라하,L10,2sp,전지적 독자 시점,,,"유중혁, 김독자",유중혁X김독자,"로맨틱,섹슈얼",,소설,https://dongne.co/event/df2204/circles/145792,제 18회 디페스타,day1
PLAN A-Z,김이응,H10a,1sp,,,,,,,,"사진,일러스트",https://dongne.co/event/df2204/circles/145190,제 18회 디페스타,day1
Plus+ Ultra,꺼리,J10a,1sp,명탐정 코난,,,"아카이 슈이치, 아무로 토오루",아카이 슈이치X아무로 토오루,"로맨틱,섹슈얼",,"만화,소설",https://dongne.co/event/df2204/circles/145569,제 18회 디페스타,day1
RoseDrop,Yue,K13,2sp,죠죠의 기묘한 모험,,,"죠나단 죠스타, 디오 브란도, DIO, 죠르노 죠바나",죠나단 죠스타X디오 브란도,,,,https://dongne.co/event/df2204/circles/146572,제 18회 디페스타,day1
smile box,Jude,G9,2sp,오리지널 창작,,,,,,,"만화,일러스트,소설,공예",https://dongne.co/event/df2204/circles/146463,제 18회 디페스타,day1
Sourplace,사워,J19a,1sp,쿠키런 킹덤,,,,,"섹슈얼,로맨틱",,만화,https://dongne.co/event/df2204/circles/146404,제 18회 디페스타,day1
Sweet Sea *,힐끼,I20,2sp,주술회전,,,나나미 켄토,하이바라 유우X나나미 켄토,,,,https://dongne.co/event/df2204/circles/144608,제 18회 디페스타,day1
TANG♡ 샤봉 런처!,365&7,K4,2sp,원피스,죠죠의 기묘한 모험 / 언더테일(소량),,"죠나단, 디오, 죠셉, 시저, 죠타로, 카쿄인, 루피, 에이스, 사보, 조로, 상디, 나미, 로우, 코라손, 도플라밍고",,해당없음,,"일러스트,공예",https://dongne.co/event/df2204/circles/146111,제 18회 디페스타,day1
The great escape,스팸,I16b,1sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],,이타도리 유지X후시구로 메구미,로맨틱,,만화,https://dongne.co/event/df2204/circles/145980,제 18회 디페스타,day1
ZAO,ZAO,H10b,1sp,,,,,,,,,https://dongne.co/event/df2204/circles/148259,제 18회 디페스타,day1
Zero523,NEED,H11,2sp,,,,,,,,,https://dongne.co/event/df2204/circles/146328,제 18회 디페스타,day1
Zzz,고구마,I21a,1sp,귀멸의 칼날,"월간순정 노자키군, 내가 키운 S급들 ,도쿄 리벤저스",,렌고쿠 쿄주로,,해당없음,,만화,https://dongne.co/event/df2204/circles/146061,제 18회 디페스타,day1
[ MEGUMI IS ALWAYS RIGHT ] (운영부스),동인 네트워크,I13,2sp,,,[ MEGUMI IS ALWAYS RIGHT ],,,,,,https://dongne.co/event/df2204/circles/170543,제 18회 디페스타,day1
~8년 전통 찐빵 맛집~,"지넹,:3c",J4b,1sp,에스케이에이트,기븐,,"하세가와 란가, 캰 레키",란가X레키,로맨틱,"리츠마후, 시즈히이","기타,일러스트,소설",https://dongne.co/event/df2204/circles/147603,제 18회 디페스타,day1
~수상한 24시 중점밀행 메론빵부스~,구이,J12,2sp,MIU404,,,이부키아이 시마카즈미,,로맨틱,,만화,https://dongne.co/event/df2204/circles/146570,제 18회 디페스타,day1
『하든가 죽든가 ~DO or DIE~』 (운영부스),동인 네트워크,I7,2sp,,,『하든가 죽든가 ~DO or DIE~』,,,,,,https://dongne.co/event/df2204/circles/170555,제 18회 디페스타,day1
가보자고 외치다가 마감에 물려간 부스,하현,M17a,1sp,데뷔 못하면 죽는 병 걸림(데못죽),,,박문대,X박문대,로맨틱,"배세문대, 아현문대, 유진문대, 청려문대, 청우문대, 큰세문대","소설,만화",https://dongne.co/event/df2204/circles/145193,제 18회 디페스타,day1
가좍아니면아기공아니면둘다,pon,I8b,1sp,도쿄 리벤저스,,,마츠노 치후유,마츠노 치후유 X,"섹슈얼,로맨틱",,"만화,일러스트",https://dongne.co/event/df2204/circles/147905,제 18회 디페스타,day1
간장게장&마카롱&만두,시안,K10,2sp,죠죠의 기묘한 모험,,,쿠죠 죠타로,죠타로X카쿄인,"섹슈얼,로맨틱,해당없음","쿠죠부부, 공컾","만화,일러스트",https://dongne.co/event/df2204/circles/146771,제 18회 디페스타,day1
간장게장마카롱파스타,G,K6a,1sp,"동물의 숲, 죠죠의 기묘한 모험, 마블 시네마틱 유니버스, 페이트 시리즈",일단 이렇게 많이 적어두면 언젠가 다 그리겠지?,,,,해당없음,,"기타,사진,일러스트",https://dongne.co/event/df2204/circles/144868,제 18회 디페스타,day1
갑작스럽지만 여러분은 이타른에 대해 아십니까? (운영부스),동인 네트워크,H13,2sp,,,갑작스럽지만 여러분은 이타른에 대해 아십니까?,,,,,,https://dongne.co/event/df2204/circles/170550,제 18회 디페스타,day1
강다의 도토리창고,강하,L7a,1sp,전지적독자시점,"내스급,데뷔못하면죽는병걸림,로판 등",,,,,,,https://dongne.co/event/df2204/circles/145416,제 18회 디페스타,day1
걸즈 파문 파티!,"잡상인, 사성",K7a,1sp,"죠죠의 기묘한 모험, 뱅드림! 걸즈 밴드 파티!",,,"1~8부의 죠죠 등장인물, 뱅드림 리더즈",,,,,https://dongne.co/event/df2204/circles/145812,제 18회 디페스타,day1
검은 새벽,김래곤,H24,2sp,,,,,,,,일러스트,https://dongne.co/event/df2204/circles/146183,제 18회 디페스타,day1
겨울의 달유리 꿈,모스까뚀우&겨울의꿈,G7,4sp,,,,,,,,,https://dongne.co/event/df2204/circles/146100,제 18회 디페스타,day1
고담 베이커리 카페,증기,K23,2sp,배트맨,,,배트맨 브루스웨인,,"로맨틱,섹슈얼,해당없음",,"소설,공예,일러스트,기타",https://dongne.co/event/df2204/circles/146584,제 18회 디페스타,day1
곰굴,DMWM,G13,2sp,1차창작,닌타마 란타로,,,,,,"소설,기타,사진",https://dongne.co/event/df2204/circles/144710,제 18회 디페스타,day1
공포영화팟,이나연,H23,2sp,,,,,,,,만화,https://dongne.co/event/df2204/circles/146198,제 18회 디페스타,day1
공화국제조쿠키역시맛있다,감초,J20b,1sp,쿠키런 킹덤,,,"마들렌,에스프레소",마들렌X에스프레소,"로맨틱,섹슈얼",,,https://dongne.co/event/df2204/circles/147114,제 18회 디페스타,day1
관짝 공동 구매 부흥회,"FEL , 서하",I3,2sp,히프노시스마이크,"아이돌리쉬세븐,TRPG",,"칸논자카 돗포, 이자나미 히후미, 진구지 쟈쿠라이, 마천랑",이자나미 히후미X칸논자카 돗포,"섹슈얼,해당없음,로맨틱",,"만화,기타",https://dongne.co/event/df2204/circles/145434,제 18회 디페스타,day1
구름이뭉게뭉게,뭉게구름,M14,2sp,데뷔목하면죽는병걸림,전지적독자시점,,박문대,청려X문대,로맨틱,,"만화,일러스트",https://dongne.co/event/df2204/circles/146645,제 18회 디페스타,day1
군청본색 群靑本色,군청,J17,2sp,"코우노도리1,2(드라마)","MIU404, 크로스오버(아인x플라주)",,"코우노토리 사쿠라, 시노미야 하루키",코우노토리 사쿠라X시노미야 하루키,"로맨틱,섹슈얼","이부시마(이부키 아이×시마 카즈미), 사토타카(사토×요시무라 타카오)",소설,https://dongne.co/event/df2204/circles/145739,제 18회 디페스타,day1
굿즈러+소비러+알못러가 함께 합니다,악개,K6b,1sp,MCU,"팔콘과윈터솔져,샹치",,"버키, 샘",버키반즈X샘윌슨,로맨틱,"거미개미, 토니스콧","만화,일러스트,소설",https://dongne.co/event/df2204/circles/145871,제 18회 디페스타,day1
그림나무열매,야누스,K3,2sp,이누야샤,"신비한 별의 쌍둥이 공주, 헌터x헌터 ",,키쿄우,,"로맨틱,섹슈얼","셋링, 시레이 ","만화,일러스트",https://dongne.co/event/df2204/circles/146632,제 18회 디페스타,day1
근본없는 부스,젤제리,K15,2sp,죠죠의 기묘한 모험,,,,,,,,https://dongne.co/event/df2204/circles/148087,제 18회 디페스타,day1
까마귀 둥지,오운,M22a,1sp,데뷔못하면죽는병걸림,,,,X,해당없음,,공예,https://dongne.co/event/df2204/circles/147093,제 18회 디페스타,day1
꼬누비,꼬누비,G2a,1sp,1차 창작 봉제 인형,,,,,,,공예,https://dongne.co/event/df2204/circles/146680,제 18회 디페스타,day1
꿈꾸는 모냐,모냐,G26b,1sp,오리지널,"사이퍼즈, ff14, 데못죽",,,,,,일러스트,https://dongne.co/event/df2204/circles/145897,제 18회 디페스타,day1
꿈에서 만나요,곰돌실업 뜨개사업부,G23a,1sp,MCU 토르,어벤져스,,토르로키,,해당없음,,공예,https://dongne.co/event/df2204/circles/146121,제 18회 디페스타,day1
나쵸치즈,나즈,I16a,1sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],"고죠 사토루, 후시구로 메구미",고죠 사토루X후시구로 메구미,"로맨틱,섹슈얼",,만화,https://dongne.co/event/df2204/circles/146556,제 18회 디페스타,day1
난약간귀여운게아닐까,물물,L21b,1sp,내가 키운 S급들,,"Home, sweet home",,,섹슈얼,,,https://dongne.co/event/df2204/circles/145788,제 18회 디페스타,day1
너는 어쩌고 싶어? 대답은 필요없어,-1°C,J13a,1sp,MIU404,,,"이부키, 시마",이부키X시마,"섹슈얼,로맨틱",,소설,https://dongne.co/event/df2204/circles/147954,제 18회 디페스타,day1
네코마마,"레이카, 마키시, 시에",M12,2sp,데뷔 못하면 죽는 병 걸림,"내스급, 하이큐",,테스타,,,"테스타, 청려, 논커플링",,https://dongne.co/event/df2204/circles/146187,제 18회 디페스타,day1
녹색의 마녀,정예진,G26a,1sp,,,,,,,,"공예,조형,기타",https://dongne.co/event/df2204/circles/144498,제 18회 디페스타,day1
녹차맛젤리,녹차맛별사탕,H20a,1sp,파이어 엠블렘 풍화설월,프로젝트세카이,,,실뱅X잉그리트,로맨틱,아키토우,만화,https://dongne.co/event/df2204/circles/146810,제 18회 디페스타,day1
달과 오렌지,SB ,J11,2sp,어그레츠코 ,,,,타다노X레츠코,"로맨틱,섹슈얼",,만화,https://dongne.co/event/df2204/circles/145780,제 18회 디페스타,day1
달콤한일러스트,iamyunji,H26,2sp,모모찌,,,모모찌,,해당없음,,일러스트,https://dongne.co/event/df2204/circles/145921,제 18회 디페스타,day1
도란도란,산채,G24,2sp,,,,,,,,"일러스트,공예",https://dongne.co/event/df2204/circles/145297,제 18회 디페스타,day1
도마뱀의낙서장,해룡,G5a,1sp,,,,,,,,"만화,공예,일러스트",https://dongne.co/event/df2204/circles/148276,제 18회 디페스타,day1
도쿄아저씨,아저씨,I12,2sp,도쿄 리벤저스,,,,이누이 세이슈X코코노이 하지메,"로맨틱,섹슈얼",,"만화,일러스트",https://dongne.co/event/df2204/circles/145715,제 18회 디페스타,day1
독자야할미왔다,"조탁,rov",L12,2sp,전지적독자시점,내가키운S급들,,"유중혁, 김독자",유중혁X김독자,"로맨틱,섹슈얼",현제유진,소설,https://dongne.co/event/df2204/circles/147940,제 18회 디페스타,day1
돌고래 밭으로 놀러오세요,moraegorae,K5a,1sp,"나루토, 혈계전선",,,"카카시, 이루카",하타케 카카시X우미노 이루카,,"크라스팁, 청흑",,https://dongne.co/event/df2204/circles/148067,제 18회 디페스타,day1
뒹굴뒹굴,돕돕돕,K22b,1sp,DC 코믹스,"아케인, 오버워치",,배트맨,,해당없음,,,https://dongne.co/event/df2204/circles/146533,제 18회 디페스타,day1
디페스타 Fan World,피케,I23a,1sp,"주술회전, 도쿄리벤저스",,,,X,해당없음,,만화,https://dongne.co/event/df2204/circles/145342,제 18회 디페스타,day1
또롱별,이데아,M2,2sp,내가 키운 S급들,,,"한유현, 한유진",한유현X한유진,로맨틱,,일러스트,https://dongne.co/event/df2204/circles/145358,제 18회 디페스타,day1
러뷰어셀프,근,M13b,1sp,데뷔 못 하면 죽는 병 걸림,,,,,,,일러스트,https://dongne.co/event/df2204/circles/146412,제 18회 디페스타,day1
리미스토리,LIMI,H22,2sp,창작,포켓몬,,,,,,일러스트,https://dongne.co/event/df2204/circles/145852,제 18회 디페스타,day1
리틀캣스튜디오,memmoom,H1,2sp,오리지널창작,,,,,,,일러스트,https://dongne.co/event/df2204/circles/145930,제 18회 디페스타,day1
리틀타이니룸,ACOO,G15,2sp,,,,,,,,"일러스트,조형,공예,기타",https://dongne.co/event/df2204/circles/146709,제 18회 디페스타,day1
만듦,jini0305,G22,2sp,,,,,,,,공예,https://dongne.co/event/df2204/circles/146605,제 18회 디페스타,day1
메자스노와 메론빵엔딩,"29, 그루",J14a,1sp,MIU404,마법사의 약속,,"이부키, 시마",,,,,https://dongne.co/event/df2204/circles/146115,제 18회 디페스타,day1
면죄도 동인도 되다 말았습니다,이데아,I24,2sp,파이널판타지14,,,에메트셀크,휘틀로다이우스X에메트셀크,"로맨틱,섹슈얼",고대인,"소설,기타",https://dongne.co/event/df2204/circles/146018,제 18회 디페스타,day1
명분과 실세,쇼,L16,2sp,화산귀환,전지적 독자 시점,,"조걸, 윤종",유중혁X김독자,해당없음,,"일러스트,공예,기타,소설",https://dongne.co/event/df2204/circles/146980,제 18회 디페스타,day1
뫄뫄장르,on,K5b,1sp,쩜오,,,,,,,,https://dongne.co/event/df2204/circles/146982,제 18회 디페스타,day1
미래의 나 부탁해,시온,L11a,1sp,전지적 독자 시점,"데뷔 못하면 죽는 병 걸림, 백작가의 망나니가 되었다",,,유중혁X김독자,로맨틱,,,https://dongne.co/event/df2204/circles/146608,제 18회 디페스타,day1
미래의 내가 뭐든 해주겠지,녹차시럽,H19,2sp,명급리,내스급,,,,,,,https://dongne.co/event/df2204/circles/146391,제 18회 디페스타,day1
바니,바니,H18a,1sp,윈피스,"히로아카,그외",,,,,,,https://dongne.co/event/df2204/circles/146914,제 18회 디페스타,day1
바리바리스타밤하늘의펄,백수와 주인,I15,2sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],"고죠 사토루, 후시구로 메구미",고죠 사토루X후시구로 메구미,,,"기타,만화",https://dongne.co/event/df2204/circles/146502,제 18회 디페스타,day1
바오밥나무 12번지,바오,G8,2sp,"해리포터, 화산귀환, 마블, MCU, 스파이더맨, 로스쿨, 해피니스",,,,,,,공예,https://dongne.co/event/df2204/circles/147272,제 18회 디페스타,day1
밝을 명,"엠알, 소남송, 슬",M8a,1sp,화산귀환,,,청명,백천X청명,"로맨틱,섹슈얼","일소소병, 조걸윤종",만화,https://dongne.co/event/df2204/circles/145292,제 18회 디페스타,day1
베리파티,화화,H12a,1sp,,,,,X,"로맨틱,해당없음,섹슈얼",,"소설,기타",https://dongne.co/event/df2204/circles/146314,제 18회 디페스타,day1
변호사인권보호협회,Minn,I4a,1sp,히프노시스마이크,,,나고야디비젼,아이모노 쥬시X아마구니 히토야,"로맨틱,섹슈얼",,만화,https://dongne.co/event/df2204/circles/147925,제 18회 디페스타,day1
부리님이 다하는 부스,다온,M21,2sp,데뷔 못하면 죽는 병 걸림,전지적 독자 시점,,박문대 신청려,,섹슈얼,,"소설,일러스트",https://dongne.co/event/df2204/circles/148095,제 18회 디페스타,day1
부스 전개 원고살 마감,핑감,I21b,1sp,귀멸의 칼날,,,아카자,렌고쿠X아카자,섹슈얼,"도우아카, 하쿠코유,","만화,일러스트,기타",https://dongne.co/event/df2204/circles/145400,제 18회 디페스타,day1
부스가 있으면 뭔가 나오지 않을까,이실isil,K20,2sp,마블,화산귀환,,  토르,,"로맨틱,섹슈얼",,소설,https://dongne.co/event/df2204/circles/147974,제 18회 디페스타,day1
부스명 또 고민,라이,M24,2sp,내가키운S급들,"수퍼맨,배트맨,데못죽,은혼",,"성현제,한유진,수퍼맨,배트맨,테스타,긴토키,히지카타",성현제X한유진,"로맨틱,섹슈얼","숲뱃,히지긴","만화,일러스트",https://dongne.co/event/df2204/circles/144444,제 18회 디페스타,day1
북극기지,한기,I11,2sp,도쿄리벤저스,용과 같이,,,카쿠쵸X쿠로카와 이자나,"로맨틱,섹슈얼",,"만화,일러스트,기타",https://dongne.co/event/df2204/circles/146531,제 18회 디페스타,day1
빵떡이시스마이크 ,차푸,I4b,1sp,히프노시스마이크,,,ALL 캐릭터,X,해당없음,,일러스트,https://dongne.co/event/df2204/circles/146990,제 18회 디페스타,day1
쁘띠뽀짝,뽀짝쿵야 참비,L20b,1sp,전지적 독자 시점,"하이큐, 데뷔 못 하면 죽는 병 걸림",,,,,,,https://dongne.co/event/df2204/circles/146134,제 18회 디페스타,day1
사과정원,빨간사숨,J20a,1sp,쿠키런킹덤,,,"마들렌맛쿠키, 에스프레소맛쿠키",마들렌X에스프레소,"로맨틱,섹슈얼",,만화,https://dongne.co/event/df2204/circles/145343,제 18회 디페스타,day1
사르디나 이주 서비스 센터,하열,J23,2sp,로드오브히어로즈,,,,,,,"만화,일러스트",https://dongne.co/event/df2204/circles/145605,제 18회 디페스타,day1
사를 표방하는 이들은 얕보이면 안된단다,솜미루,L18a,1sp,화산귀환,적국의왕자로사는법,,호가명 장일소,호가명X장일소,"섹슈얼,로맨틱,해당없음",저도 모릅니다,소설,https://dongne.co/event/df2204/circles/147613,제 18회 디페스타,day1
산딸기프레첼 홍보위원회,아몽르,H7,2sp,케프리와 깃털,,,,,"로맨틱,섹슈얼",,소설,https://dongne.co/event/df2204/circles/148120,제 18회 디페스타,day1
산지직송,강원도감자,K14,2sp,죠죠의 기묘한 모험,,,올캐릭터,,,,,https://dongne.co/event/df2204/circles/148242,제 18회 디페스타,day1
삼각형에 대한 광기는 더욱 커져만 갔다.,TAKUO,K7b,1sp,죠죠의 기묘한 모험,,,"디오 브란도, 죠나단 죠스타, 에리나 펜들턴",디오 브란도X죠나단 죠스타,"로맨틱,섹슈얼","죠나에리, 시죠세","만화,일러스트",https://dongne.co/event/df2204/circles/147346,제 18회 디페스타,day1
상메네 만두가게,이만세,H21,2sp,,,,,,,,만화,https://dongne.co/event/df2204/circles/146426,제 18회 디페스타,day1
석조의 죠죠죠죠,석조,K8b,1sp,죠죠의 기묘한 모험,,,카쿄인 노리아키,X,,,소설,https://dongne.co/event/df2204/circles/147812,제 18회 디페스타,day1
소라공방,소라님,M23,2sp,데뷔 못 하면 죽는 병 걸림,화산귀환,,,,,,공예,https://dongne.co/event/df2204/circles/144459,제 18회 디페스타,day1
소라의 언어,이주,H6,2sp,,,,,,,,일러스트,https://dongne.co/event/df2204/circles/145406,제 18회 디페스타,day1
손도치,sondochi,G5b,1sp,,,,,,,,공예,https://dongne.co/event/df2204/circles/146220,제 18회 디페스타,day1
수조 밖,무냠,G18b,1sp,,,,,,,,"만화,일러스트",https://dongne.co/event/df2204/circles/145573,제 18회 디페스타,day1
순애는 진짜 개 아름다운 거구나,방주,I19a,1sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,해당없음,,,https://dongne.co/event/df2204/circles/146745,제 18회 디페스타,day1
슈가솔트데이즈,슈가솔트,H5,2sp,,,,,,,,,https://dongne.co/event/df2204/circles/148421,제 18회 디페스타,day1
스불재의 귀환,"마라, 화타",M9,2sp,화산귀환,,,"백천,청명,당보,금룡,송백,조걸,윤종 ",백천X청명,"해당없음,섹슈얼,로맨틱","금송, 조윤","만화,일러스트,기타",https://dongne.co/event/df2204/circles/147004,제 18회 디페스타,day1
스윗트일러 ,스윗트일러,G11b,1sp,,,,,,,,일러스트,https://dongne.co/event/df2204/circles/147070,제 18회 디페스타,day1
스티커 광인 부스,귤쌈,J8,2sp,하이큐,"내스급, 백망되, 약네랜",,,,,,일러스트,https://dongne.co/event/df2204/circles/146123,제 18회 디페스타,day1
습관적부스신청,백수백숙,H3,2sp,,,,,,,,소설,https://dongne.co/event/df2204/circles/145024,제 18회 디페스타,day1
시켜줘신요코시민,오타쿠,H18b,1sp,흡혈귀는 툭하면 죽는다,,,로널드,드라루크X로널드,로맨틱,,"기타,만화",https://dongne.co/event/df2204/circles/146292,제 18회 디페스타,day1
심의결과 ······ 교제입니다 축하합니다,식량,H16a,1sp,주술회전,,갑작스럽지만 여러분은 이타른에 대해 아십니까?,"후시구로 메구미, 이타도리 유우지",,,,,https://dongne.co/event/df2204/circles/145877,제 18회 디페스타,day1
아보카도 위 명란젓,코바,H20b,1sp,하프 헤일로,,,,,,,만화,https://dongne.co/event/df2204/circles/146580,제 18회 디페스타,day1
아빠가좋아엄마가좋아가있기전부터형이좋았다,ahl0325,L22,2sp,내가 키운 S급들,"데뷔 못하면 죽는 병 걸림, 전지적 독자 시점","Home, sweet home","한유현, 한유진",한유현X한유진,섹슈얼,아현문대,,https://dongne.co/event/df2204/circles/146384,제 18회 디페스타,day1
아이스박스,BVKIM,K22a,1sp,"스타워즈, 만달로리안",,,"루크스카이워커,딘자린,그로구",,로맨틱,레일로,"일러스트,만화",https://dongne.co/event/df2204/circles/146030,제 18회 디페스타,day1
아카이는 아무로에게 그래요,Missa,J10b,1sp,명탐정 코난,,,아무로 토오루,,"로맨틱,섹슈얼",,"일러스트,소설",https://dongne.co/event/df2204/circles/146250,제 18회 디페스타,day1
안가네 김가네,"가나쵸, 뮤실리, 질리언, 팝콘",L14,2sp,화산귀환,백작가의 망나니가 되었다,,"청명, 당보, 백천, 조걸, 윤종, 이설, 소소, 백아, 혜연, 금룡, 송백",,해당없음,,일러스트,https://dongne.co/event/df2204/circles/146278,제 18회 디페스타,day1
암향매화,O,M11,2sp,화산귀환,얼하 파판14,,당보 청명,당보X청명,로맨틱,연만 라하히카,만화,https://dongne.co/event/df2204/circles/144392,제 18회 디페스타,day1
야 진짜 신간 나온다 ,5새벽,L1,2sp,내가 키운 S급들,전지적 독자 시점,"Home, sweet home",한유현,,섹슈얼,,만화,https://dongne.co/event/df2204/circles/145743,제 18회 디페스타,day1
